ID,Major clonotype frequency (BCR-Seq),Minor clonotype frequency (BCR-Seq),Portion of IGH repertoire captured by ImRep,Portion of IGH repertoire captured by MiXCR,Major clonotype frequency (ImReP),Minor clonotype frequency (ImRep),Major clonotype frequency (MiXCR),Minor clonotype frequency (MiXCR),Number of BCR-SEQ-confirmed clonotypes,Number of ImReP-derived clonotypes (RNA-Seq),Number of MiXCR-derived clonotypes (RNA-Seq)
009-0192,0.64%,0.16%,7.48%,7.96%,0.64%,0.16%,0.64%,0.16%,583,34,32
009-0184,1.11%,1.11%,1.11%,0.00%,1.11%,1.11%,0.00%,0.00%,90,1,0
009-0148,1.45%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,671,0,0
009-0171,2.94%,1.47%,2.94%,0.00%,2.94%,2.94%,0.00%,0.00%,61,1,0
009-0203,3.33%,0.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,117,0,0
009-0186,16.67%,0.67%,28.67%,20.00%,16.67%,0.67%,16.67%,0.67%,113,15,5
009-0174,62.54%,0.34%,62.54%,0.00%,62.54%,62.54%,0.00%,0.00%,55,1,0
009-0109,96.66%,0.01%,96.70%,0.01%,96.66%,0.01%,0.01%,0.01%,223,4,1
009-0249,97.68%,0.00%,97.68%,97.68%,97.68%,97.68%,97.68%,97.68%,379,1,1
009-0112,97.75%,0.00%,97.75%,97.75%,97.75%,97.75%,97.75%,97.75%,201,1,1
009-0122,98.16%,0.00%,98.17%,98.16%,98.16%,0.00%,98.16%,0.00%,119,3,2
009-0202,99.72%,0.00%,99.72%,99.75%,99.72%,99.72%,99.72%,99.72%,50,1,2
009-0103,99.75%,0.03%,99.75%,99.75%,99.75%,99.75%,99.75%,99.75%,9,1,1
